Line,Location
"can't find (10,103)",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"25,00 m0",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA114,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA133,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:110,95",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA142,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:58,98",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA140,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:100,37",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA139B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:24,15",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA111,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:14,94",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA121A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:7,56",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA102,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:44,89",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA104C,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:64,85",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA104B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:3,53",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA104,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:106,52",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA118,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:10,36",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA121,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:5,30",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA137,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:17,53",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA139C,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:27,92",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA134,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:4,67",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA136,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:7,70",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA105,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:7,40",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA110A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:26,85",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA110B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:23,23",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA112,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:1,65",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA108,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:69,95",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA115,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:15,83",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA117,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:14,32",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA119,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:3,45",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA120,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:3,82",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA124,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:18,74",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA126,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:6,89",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA128,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:75,25",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
FA127,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:1,29",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
F_LIFT_1,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
"Gross:4,44",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\01\floor.txt
